id_districtName,prop
"Arusha",.0803419
"Arusha Rural",.0416198
"Babati Rural",.1164095
"Babati Urban",.0621359
"Bagamoyo",.1024447
"Bahi",.0731982
"Bariadi",.0824499
"Biharamulo",.0607595
"Bukoba Rural",.0659898
"Bukoba Urban",.0628931
"Bukombe",.1085353
"Bunda",.1007299
"Chamwino",.1147929
"Chato",.0393912
"Chunya",.1144165
"Dodoma Urban",.1334081
"Geita",.1014333
"Hai",.0688468
"Hanang",.1352758
"Igunga",.1559715
"Ilala",.0671982
"Ileje",.0968153
"Ilemela",.0605727
"Iramba",.1523395
"Iringa Rural",.1348148
"Iringa Urban",.0607735
"Kahama",.0793173
"Karagwe",.1135204
"Karatu",.1192547
"Kasulu",.0543131
"Kibaha Rural",.0851351
"Kibaha Urban",.054254
"Kibondo",.0828313
"Kigoma Rural",.1099899
"Kigoma Urban",.0768194
"Kilindi",.0712644
"Kilolo",.0391499
"Kilombero",.1180124
"Kilosa",.0691421
"Kilwa",.0960854
"Kinondoni",.055788
"Kisarawe",.1163476
"Kishapu",.0559896
"Kiteto",.0669014
"Kondoa",.0624113
"Kongwa",.0689655
"Korogwe",.0520984
"Korogwe Urban",.0695825
"Kwimba",.1587031
"Kyela",.0475436
"Lindi Rural",.098646
"Lindi Urban",.056266
"Liwale",.061693
"Longido",.0437436
"Ludewa",.0642857
"Lushoto",.045045
"Mafia",.1333333
"Magu",.0591133
"Makete",.1184
"Manyoni",.1001178
"Masasi",.19375
"Maswa",.1015228
"Mbarali",.0519685
"Mbeya Rural",.0649351
"Mbeya Urban",.0476879
"Mbinga",.097629
"Mbozi",.1327913
"Mbulu",.1111111
"Meatu",.1147028
"Meru",.1242312
"Misenyi",.0871905
"Missungwi",.0796253
"Mkinga",.0740242
"Mkuranga",.0910194
"Monduli",.0743802
"Morogoro",.2694938
"Morogoro Urban",.1046512
"Moshi Rural",.0738523
"Moshi Urban",.1404321
"Mpanda",.0416263
"Mpanda Mjini",.0803296
"Mpwapwa",.0754936
"Mtwara Rural",.1287313
"Mtwara Urban",.076661
"Mufindi",.0676923
"Muheza",.0576132
"Muleba",.1118077
"Musoma Rural",.0609524
"Musoma Urban",.1517949
"Mvomero",.1076524
"Mwanga",.1167513
"Nachingwea",.0587302
"Namtumbo",.0564516
"Nanyumbu",.0900901
"Newala",.0815348
"Ngara",.0692521
"Ngorongoro",.0452962
"Njombe",.0289352
"Njombe Mjini",.0820225
"Nkasi",.0490857
"Nyamagana",.0519288
"Nzega",.0964379
"Pangani",.0942472
"Rombo",.079023
"Rorya",.0420792
"Ruangwa",.0655738
"Rufiji",.0384615
"Rungwe",.0762431
"Same",.123723
"Sengerema",.0769231
"Serengeti",.0913642
"Shinyanga Rural",.0960452
"Shinyanga Urban",.1032483
"Siha",.0651751
"Sikonge",.0429129
"Simanjiro",.081448
"Singida Rural",.0947368
"Singida Urban",.1267748
"Songea Rural",.0992462
"Songea Urban",.0349345
"Sumbawanga Urban",.0819672
"Tabora Urban",.0654008
"Tandahimba",.0819277
"Tanga Urban",.0535948
"Tarime",.0811856
"Temeke",.1007519
"Tunduru",.1294299
"Ukerewe",.1193317
"Ulanga",.1007958
"Urambo",.0735887
"Uyui",.144086
